"booker_ip_ufi","hotel_ufi","check_month","book_count","from_lat","from_lon","to_lat","to_lon","distance"
343460,-782831,8,5645,21.5503,39.2192,25.2703,55.3075,1691.72
343460,-782831,6,5645,21.5503,39.2192,25.2703,55.3075,1691.72
-381535,-390625,10,5630,40.4,-3.68333,40.4167,-3.70342,2.51826
-774541,-755070,8,5624,41.0167,28.9667,41.0088,28.9682,0.887409
-774541,-755070,4,5584,41.0167,28.9667,41.0088,28.9682,0.887409
-755070,-755070,12,5578,41.0088,28.9682,41.0088,28.9682,0
-3414440,-3414440,12,5513,13.7558,100.506,13.7558,100.506,0
-774541,-755070,5,5512,41.0167,28.9667,41.0088,28.9682,0.887409
20019371,20079110,12,5501,41.0936,-73.4192,36.119,-115.168,3634.48
-381535,-390625,1,5493,40.4,-3.68333,40.4167,-3.70342,2.51826
-381535,-390625,4,5463,40.4,-3.68333,40.4167,-3.70342,2.51826
408663,-3096949,1,5460,24.6556,46.6983,21.4225,39.8262,789.576
-381535,-390625,3,5429,40.4,-3.68333,40.4167,-3.70342,2.51826
408663,-782831,11,5415,24.6556,46.6983,25.2703,55.3075,870.404
-782066,-782831,11,5401,24.4667,54.3667,25.2703,55.3075,130.355
-755070,-755070,1,5390,41.0088,28.9682,41.0088,28.9682,0
-2960561,-2960561,5,5384,55.7522,37.6156,55.7522,37.6156,0
-381535,-390625,11,5369,40.4,-3.68333,40.4167,-3.70342,2.51826
-789552,-782831,8,5364,29.3697,47.9783,25.2703,55.3075,855.278
-73635,-73635,7,5257,1.29306,103.856,1.29306,103.856,0
-3414440,-3414440,9,5254,13.7558,100.506,13.7558,100.506,0
-73635,-73635,4,5222,1.29306,103.856,1.29306,103.856,0
-381535,-390625,2,5222,40.4,-3.68333,40.4167,-3.70342,2.51826
-2960561,-2960561,2,5214,55.7522,37.6156,55.7522,37.6156,0
-1456928,-1456928,7,5175,48.8562,2.34764,48.8562,2.34764,0
-782066,-782831,12,5156,24.4667,54.3667,25.2703,55.3075,130.355
-782066,-782066,4,5100,24.4667,54.3667,24.4667,54.3667,0
-774541,-755070,6,5043,41.0167,28.9667,41.0088,28.9682,0.887409
-782066,-782066,3,5005,24.4667,54.3667,24.4667,54.3667,0
-73635,-73635,2,4979,1.29306,103.856,1.29306,103.856,0
-782066,-782066,12,4958,24.4667,54.3667,24.4667,54.3667,0
-3414440,-3414440,5,4944,13.7558,100.506,13.7558,100.506,0
-2960561,-2960561,11,4898,55.7522,37.6156,55.7522,37.6156,0
-381535,-390625,9,4892,40.4,-3.68333,40.4167,-3.70342,2.51826
-3414440,-3414440,7,4882,13.7558,100.506,13.7558,100.506,0
20019371,20079110,10,4868,41.0936,-73.4192,36.119,-115.168,3634.48
-782066,-782066,9,4850,24.4667,54.3667,24.4667,54.3667,0
-381535,-390625,7,4822,40.4,-3.68333,40.4167,-3.70342,2.51826
20019371,20088325,12,4807,41.0936,-73.4192,40.7681,-73.9819,59.536
20019371,20079110,1,4735,41.0936,-73.4192,36.119,-115.168,3634.48
-782066,-782831,3,4716,24.4667,54.3667,25.2703,55.3075,130.355
20019371,20079110,9,4693,41.0936,-73.4192,36.119,-115.168,3634.48
-73635,-73635,1,4690,1.29306,103.856,1.29306,103.856,0
-774541,-755070,7,4687,41.0167,28.9667,41.0088,28.9682,0.887409
-73635,-73635,10,4622,1.29306,103.856,1.29306,103.856,0
-789552,-782831,2,4616,29.3697,47.9783,25.2703,55.3075,855.278
-782066,-782066,10,4611,24.4667,54.3667,24.4667,54.3667,0
-1456928,-1456928,9,4603,48.8562,2.34764,48.8562,2.34764,0
-755070,-755070,11,4573,41.0088,28.9682,41.0088,28.9682,0
20019371,20079110,2,4524,41.0936,-73.4192,36.119,-115.168,3634.48
20019371,20079110,4,4518,41.0936,-73.4192,36.119,-115.168,3634.48
-73635,-73635,11,4516,1.29306,103.856,1.29306,103.856,0
-782066,-782831,10,4511,24.4667,54.3667,25.2703,55.3075,130.355
-789552,-782831,5,4504,29.3697,47.9783,25.2703,55.3075,855.278
-774541,-755070,9,4485,41.0167,28.9667,41.0088,28.9682,0.887409
343460,-782831,3,4472,21.5503,39.2192,25.2703,55.3075,1691.72
-789552,-782831,6,4468,29.3697,47.9783,25.2703,55.3075,855.278
408663,-3096949,12,4459,24.6556,46.6983,21.4225,39.8262,789.576
-782499,-782066,8,4445,25.2625,55.2944,24.4667,54.3667,128.801
-2960561,-2960561,10,4401,55.7522,37.6156,55.7522,37.6156,0
-3096108,-782831,1,4369,21.5465,39.1759,25.2703,55.3075,1696.12
-3414440,-3414440,6,4360,13.7558,100.506,13.7558,100.506,0
-2960561,-1044367,5,4358,55.7522,37.6156,50.4495,30.5254,755.342
-3414440,-3414440,11,4331,13.7558,100.506,13.7558,100.506,0
-2960561,-2960561,1,4315,55.7522,37.6156,55.7522,37.6156,0
-782066,-782066,1,4291,24.4667,54.3667,24.4667,54.3667,0
-782066,-782831,1,4165,24.4667,54.3667,25.2703,55.3075,130.355
-782066,-782066,7,4158,24.4667,54.3667,24.4667,54.3667,0
408663,-782831,7,4049,24.6556,46.6983,25.2703,55.3075,870.404
-782066,-782831,9,4037,24.4667,54.3667,25.2703,55.3075,130.355
-782066,-782831,2,4029,24.4667,54.3667,25.2703,55.3075,130.355
20019371,20079110,11,4025,41.0936,-73.4192,36.119,-115.168,3634.48
-381535,-390625,8,4017,40.4,-3.68333,40.4167,-3.70342,2.51826
-1603135,-1603135,9,4016,-33.8705,151.209,-33.8705,151.209,0
-755070,-755070,10,4000,41.0088,28.9682,41.0088,28.9682,0
-782499,-782066,6,3973,25.2625,55.2944,24.4667,54.3667,128.801
343460,-782831,5,3939,21.5503,39.2192,25.2703,55.3075,1691.72
-782066,-782066,11,3923,24.4667,54.3667,24.4667,54.3667,0
-782066,-782066,2,3886,24.4667,54.3667,24.4667,54.3667,0
343460,-782831,4,3858,21.5503,39.2192,25.2703,55.3075,1691.72
-2960561,-2996338,4,3841,55.7522,37.6156,59.9391,30.3157,634.407
20019371,20088325,3,3829,41.0936,-73.4192,40.7681,-73.9819,59.536
-3096108,-782831,10,3829,21.5465,39.1759,25.2703,55.3075,1696.12
408663,-3096949,8,3825,24.6556,46.6983,21.4225,39.8262,789.576
20019371,20088325,1,3789,41.0936,-73.4192,40.7681,-73.9819,59.536
20019371,20088325,5,3756,41.0936,-73.4192,40.7681,-73.9819,59.536
-3414440,-3414440,10,3739,13.7558,100.506,13.7558,100.506,0
-789552,-782831,9,3666,29.3697,47.9783,25.2703,55.3075,855.278
-2960561,-2996338,11,3663,55.7522,37.6156,59.9391,30.3157,634.407
-785169,-782831,8,3656,25.2867,51.5333,25.2703,55.3075,379.477
-2960561,-372490,8,3642,55.7522,37.6156,41.3871,2.17001,3009.62
-126693,-126693,12,3619,41.8959,12.4826,41.8959,12.4826,0
-782499,-782066,4,3617,25.2625,55.2944,24.4667,54.3667,128.801
-782499,-782066,5,3600,25.2625,55.2944,24.4667,54.3667,128.801
20019371,20088325,2,3571,41.0936,-73.4192,40.7681,-73.9819,59.536
408663,-3096949,5,3566,24.6556,46.6983,21.4225,39.8262,789.576
20019371,20088325,10,3561,41.0936,-73.4192,40.7681,-73.9819,59.536
408663,-3096949,6,3547,24.6556,46.6983,21.4225,39.8262,789.576
-2960561,-1456928,5,3521,55.7522,37.6156,48.8562,2.34764,2486.43
-782499,-782066,9,3507,25.2625,55.2944,24.4667,54.3667,128.801
-2960561,-2996338,3,3498,55.7522,37.6156,59.9391,30.3157,634.407
-126693,-126693,3,3468,41.8959,12.4826,41.8959,12.4826,0
-1603135,-1603135,8,3466,-33.8705,151.209,-33.8705,151.209,0
-789552,-782831,3,3462,29.3697,47.9783,25.2703,55.3075,855.278
408663,-785169,8,3439,24.6556,46.6983,25.2867,51.5333,492.367
-2960561,-2996338,1,3438,55.7522,37.6156,59.9391,30.3157,634.407
343460,-782831,9,3425,21.5503,39.2192,25.2703,55.3075,1691.72
20019371,20088325,7,3410,41.0936,-73.4192,40.7681,-73.9819,59.536
-126693,-126693,5,3409,41.8959,12.4826,41.8959,12.4826,0
381118,-782831,6,3407,23.62,58.5903,25.2703,55.3075,379.586
-2960561,-1456928,4,3393,55.7522,37.6156,48.8562,2.34764,2486.43
20019371,20088325,6,3385,41.0936,-73.4192,40.7681,-73.9819,59.536
343460,-3092186,8,3383,21.5503,39.2192,24.4686,39.6142,327.008
-789552,-782831,4,3374,29.3697,47.9783,25.2703,55.3075,855.278
20019371,20088325,11,3369,41.0936,-73.4192,40.7681,-73.9819,59.536
408663,-3096949,3,3348,24.6556,46.6983,21.4225,39.8262,789.576
-372490,-372490,6,3334,41.3871,2.17001,41.3871,2.17001,0
